ngram,freq,cumshare,en
אסתר,3701,0.542,Esther
התכנית,3699,0.542,the plan
הנהלת,3699,0.542,management
הפסח,3697,0.542,Passover
מצויה,3695,0.542,found
ישר,3694,0.542,straight
ולמטה,3694,0.542,and down
"המפד""ל",3692,0.542,The Federal Ministry of Defense
המשבר,3692,0.542,the crisis
מדעי,3691,0.542,scientific
מכיר,3690,0.542,know
לימודים,3688,0.542,studies
כא,3688,0.543,XX
נוהגים,3687,0.543,are driving
להוכיח,3686,0.543,prove
הקדש,3686,0.543,the endowment
החכמים,3685,0.543,the wise
הגאונים,3683,0.543,the geniuses
לקמן,3683,0.543,Lakman
הדורות,3683,0.543,the generations
התהליך,3682,0.543,the process
הכיפורים,3682,0.543,Atonement
בקואליציה,3681,0.543,in the coalition
להתפלל,3680,0.543,pray
זוג,3680,0.543,pair
השלטונות,3679,0.543,the authorities
בדיעבד,3677,0.543,in retrospect
מתאר,3677,0.543,describes
יז,3676,0.543,17
אנפין,3675,0.544,Anfin
ליטול,3675,0.544,take
העובדים,3674,0.544,the workers
"אמ""ן",3674,0.544,artist
סיפורים,3673,0.544,stories
אמורה,3670,0.544,supposed to
נקראים,3670,0.544,are called
עלול,3668,0.544,might
הרביזיוניסטים,3668,0.544,the revisionists
אדום,3665,0.544,red
השפעת,3661,0.544,the flu
ההבדל,3660,0.544,the difference
הזירה,3660,0.544,the arena
לזמן,3659,0.544,to time
טילי,3659,0.544,Tilly
חייכה,3659,0.544,she smiled
אייכמן,3659,0.544,Eichmann
ביישוב,3658,0.545,in the settlement
התנאים,3657,0.545,the conditions
החומר,3656,0.545,the material
המקראי,3655,0.545,the biblical
הקלסית,3655,0.545,the classic
במים,3654,0.545,in the water
יחס,3653,0.545,ratio
בעלות,3653,0.545,ownership
סוניה,3653,0.545,Sonia
שינויים,3651,0.545,modifications
במאי,3650,0.545,in May
תאו,3649,0.545,bison
מנהג,3646,0.545,custom
מידי,3646,0.545,from
פוליטית,3646,0.545,political
בעברית,3645,0.545,In Hebrew
המושבה,3645,0.545,the colony
הרומני,3642,0.546,the romanian
האותיות,3641,0.546,the letters
גרם,3640,0.546,gram
דגם,3640,0.546,model
"בחו""ל",3638,0.546,abroad
וזו,3638,0.546,and that
קריאת,3638,0.546,reading
מוסר,3637,0.546,removed
הרטוריקה,3636,0.546,the rhetoric
וכמ,3635,0.546,and etc
כמבואר,3634,0.546,as explained
לחודש,3634,0.546,per month
המשתתפים,3634,0.546,the participants
מוזיאון,3633,0.546,a museum
להראות,3633,0.546,show
מירון,3631,0.546,Miron
נשמה,3629,0.546,soul
שירות,3628,0.547,service
הסבר,3628,0.547,explanation
התיכון,3627,0.547,the high school
שואל,3625,0.547,asking
המשיחית,3624,0.547,the messianic
בפי,3623,0.547,in my mouth
למדי,3622,0.547,quite
אלון,3621,0.547,oak
אורח,3621,0.547,guest
האוכל,3621,0.547,the food
בשאלת,3620,0.547,in the question
השומר,3616,0.547,the guard
שמחון,3614,0.547,Simhon
בהלכות,3613,0.547,in laws
לאה,3613,0.547,Leah
מוסיף,3613,0.547,adding
ממשלת,3612,0.547,government
זכויות,3611,0.548,rights
בירושלמי,3609,0.548,in Jerusalem
תוספות,3607,0.548,Extras
הביאו,3606,0.548,brought
חייבת,3605,0.548,must
ערוך,3604,0.548,edited
חפץ,3602,0.548,object
האוויר,3600,0.548,the air
בגדר,3599,0.548,in the fence
גבול,3598,0.548,limit
הזקן,3597,0.548,the old man
רצונו,3596,0.548,his will
דעה,3596,0.548,opinion
העולמות,3596,0.548,the worlds
חברת,3595,0.548,company
היית,3593,0.548,you were
מוסלמים,3593,0.548,Muslims
אמריקנית,3591,0.548,American
וה,3591,0.549,and the
במזרח,3589,0.549,in the east
עיראק,3588,0.549,Iraq
חלוקה,3588,0.549,division
בפאריס,3586,0.549,in Paris
המוצא,3585,0.549,the origin
מותו,3585,0.549,his death
פירות,3585,0.549,fruits
התוא,3583,0.549,the camel
האקדמיה,3582,0.549,the academy
קוראים,3582,0.549,are reading
פרופ,3581,0.549,Prof
ישראלי,3580,0.549,Israeli
דתית,3580,0.549,religious
וז,3580,0.549,and z
הטקסט,3577,0.549,the text
רוני,3574,0.549,Roni
שזו,3573,0.55,which is
תחומי,3573,0.55,areas
שמי,3572,0.55,my name
ממשיך,3571,0.55,continue
טז,3570,0.55,16
המסך,3569,0.55,the screen
בהלכה,3569,0.55,in halacha
חשב,3568,0.55,accountant
לבקש,3568,0.55,to ask
ממוצע,3567,0.55,average
כד,3567,0.55,jug
מלכתחילה,3566,0.55,from the start
קרן,3566,0.55,foundation
למחרת,3566,0.55,the following day
צו,3564,0.55,order
הגרי,3564,0.55,Gary
כלשהי,3563,0.55,any
מיום,3561,0.55,from day
ומצד,3561,0.551,and on the other hand
שלב,3558,0.551,stage
וילע,3556,0.551,Vile
אחריות,3555,0.551,responsibility
הונא,3553,0.551,fraud
ממקום,3552,0.551,from a place
מצויים,3550,0.551,are found
רוסיה,3550,0.551,Russia
בכיר,3548,0.551,senior
שמוליק,3548,0.551,Shmulik
שפת,3547,0.551,language
רחמים,3546,0.551,mercy
ענה,3545,0.551,answered
רות,3545,0.551,Ruth
ההגמוניה,3544,0.551,the hegemony
שיכול,3543,0.551,that can
בכירים,3542,0.551,Seniors
למלך,3540,0.552,to the king
בטרם,3540,0.552,before
מהדורת,3537,0.552,edition
אלפים,3535,0.552,thousands
תוכל,3535,0.552,will be able to
לאמר,3534,0.552,to say
הגישה,3531,0.552,the approach
מבינה,3530,0.552,understand
ישב,3530,0.552,sat down
הצבאית,3528,0.552,the military
מכנסיו,3528,0.552,his pants
במלחמה,3527,0.552,in war
לפתוח,3523,0.552,open
"לפנה""ס",3522,0.552,B.C
הדירקטוריון,3518,0.552,the board of directors
במוסקבה,3516,0.552,in Moscow
חלה,3515,0.552,applies
ואלו,3514,0.552,and these
הסתדרות,3514,0.553,Histadrut
האנושי,3514,0.553,the human
הכוללת,3512,0.553,which includes
בינתיים,3512,0.553,meanwhile
חיילים,3511,0.553,soldiers
אמריקני,3511,0.553,American
נר,3510,0.553,candle
מכובדי,3509,0.553,honorable
האזרחית,3509,0.553,the civil
קיבלו,3509,0.553,received
להישאר,3508,0.553,to stay
חמור,3506,0.553,Donkey
רותם,3504,0.553,Rotem
הכיבוש,3503,0.553,the occupation
בעיית,3503,0.553,a problem
בשמחה,3503,0.553,happily
האזורית,3502,0.553,the regional
השלישית,3502,0.553,the third
ראינו,3502,0.554,we saw
החרושת,3501,0.554,the factory
ייצור,3501,0.554,production
שומר,3499,0.554,guard
ההר,3498,0.554,the mountain
מהלך,3496,0.554,walk
כתבו,3496,0.554,wrote
הקטנה,3495,0.554,the little one
כוונת,3487,0.554,intention
חש,3487,0.554,felt
אהבת,3486,0.554,you loved
מוחין,3483,0.554,brain
לכאן,3481,0.554,here
השירי,3481,0.554,the poetic
וכולי,3480,0.554,and all
התפישה,3480,0.554,the perception
ראשונים,3480,0.554,first ones
ולמה,3478,0.554,and why
מבוססת,3477,0.555,based
הראב,3477,0.555,the rabbi
הירדן,3476,0.555,Jordan
הבריטית,3475,0.555,British
לחפש,3475,0.555,to look for
ישנה,3473,0.555,sleeping
ואסל,3473,0.555,Wassel
יכלו,3469,0.555,they could
נם,3468,0.555,Nm
נפשי,3467,0.555,mental
הראוי,3467,0.555,the proper
ומתן,3465,0.555,and giving
נזכר,3464,0.555,remembered
המגזר,3464,0.555,the sector
הבוקר,3463,0.555,the morning
שטייניץ,3460,0.555,Steinitz
השאר,3459,0.555,the rest
שעד,3458,0.555,until
ח',3456,0.556,h
ההיים,3455,0.556,the home
הגוש,3455,0.556,the block
לציונות,3454,0.556,to Zionism
ספורט,3453,0.556,sport
עיני,3452,0.556,my eyes
נקודות,3451,0.556,points
העיקרי,3451,0.556,the main
השטח,3451,0.556,the surface
חלקים,3451,0.556,parts
מתאים,3451,0.556,appropriate
היהי,3450,0.556,be
אבינו,3450,0.556,our father
בשאלה,3449,0.556,in question
כב,3447,0.556,approx
ירד,3447,0.556,got off
להתחיל,3446,0.556,begin
דרבנן,3443,0.556,Durbanan
קנה,3441,0.557,barrel
כזכור,3438,0.557,As I remember
הקיבוצי,3436,0.557,the kibbutzim
העתיקה,3436,0.557,the ancient
מזון,3436,0.557,food
ביטול,3433,0.557,cancelation
"השב""כ",3433,0.557,The Shin Bet
תאזה,3432,0.557,Thase
בחודש,3430,0.557,per month
חיובי,3430,0.557,positive
ואחרים,3429,0.557,and others
ליהודים,3428,0.557,to the Jews
עייי,3427,0.557,I'm sorry
יכולתי,3424,0.557,I could
המונח,3423,0.557,the term
טבנקין,3420,0.557,Tabenkin
בברלין,3420,0.557,in berlin
לערוך,3417,0.557,edit
לשים,3417,0.558,to put
המקובלים,3413,0.558,the accepted ones
מקצועית,3411,0.558,professional
ביידיש,3411,0.558,in Yiddish
הראשי,3411,0.558,the main
דאם,3411,0.558,dam
הנאצית,3410,0.558,the nazi
חמישה,3410,0.558,five
יצר,3410,0.558,inclination
בתוכו,3410,0.558,in it
ירושלמי,3408,0.558,a Jerusalemite
לקיום,3408,0.558,for existence
תלמיד,3406,0.558,pupil
התופעה,3403,0.558,the phenomenon
בדבריו,3403,0.558,in his words
הדוברת,3401,0.558,the speaker
אפשרי,3398,0.558,possible
הולכת,3395,0.558,going
ההונגרית,3395,0.558,Hungarian
שיצא,3395,0.559,that came out
תשומת,3394,0.559,attention
כחלק,3393,0.559,as part
ביתנו,3391,0.559,our house
ומן,3391,0.559,and from
רגיל,3390,0.559,regular
החטיבה,3390,0.559,the division
המטרה,3389,0.559,the goal
האורות,3389,0.559,the lights
עסק,3388,0.559,business
נפרד,3388,0.559,broke off
המזבח,3388,0.559,the altar
למלא,3387,0.559,play
קם,3386,0.559,got up
פנה,3386,0.559,turn
בליכוד,3386,0.559,in Likud
הטנקים,3385,0.559,the tanks
דוע,3385,0.559,known
לביטחון,3384,0.56,for security
נוצר,3383,0.56,was created
ויצמן,3383,0.56,Weizmann
מרן,3382,0.56,Maran
הבנה,3381,0.56,understanding
תחילת,3381,0.56,beginning
ברק,3380,0.56,lightning
רמביים,3380,0.56,Rambiim
שיטה,3379,0.56,method
עור,3378,0.56,skin
העצורים,3378,0.56,the detainees
שעליו,3378,0.56,on which
הצורה,3377,0.56,the shape
בשדה,3377,0.56,in the field
אפרים,3375,0.56,Ephraim
רבקה,3375,0.56,Rebecca
לעצמי,3373,0.56,to myself
הבדל,3371,0.56,difference
חבירו,3370,0.561,his friend
דאורייתא,3366,0.561,Daurieta
אתי,3366,0.561,ethical
עברה,3366,0.561,passage
לבטל,3363,0.561,cancel
יאמר,3363,0.561,will say
תחום,3361,0.561,domain
הכורסה,3359,0.561,the armchair
כדור,3359,0.561,ball
מודה,3358,0.561,thanking
הארגון,3358,0.561,the organization
שעלה,3356,0.561,rose
ההתנתקות,3354,0.561,the disengagement
הכבוד,3353,0.561,the honor
פנימי,3353,0.561,internal
לכבוד,3353,0.561,in honor of
הטרור,3352,0.561,the terrorism
האמנותי,3351,0.561,the artistic
הברכה,3349,0.561,the blessing
להרמב,3347,0.562,to Haramb
מחייבת,3345,0.562,binding
לבאר,3344,0.562,explain
הלבנוני,3343,0.562,the Lebanese
בדעת,3342,0.562,in mind
השעה,3341,0.562,the hour
מתמקד,3341,0.562,focuses on
תאז,3340,0.562,then
שולחן,3339,0.562,table
הדיבור,3339,0.562,the speech
"בל""ד",3339,0.562,Balad
גאולה,3338,0.562,redemption
החוצה,3338,0.562,outside
ניסה,3337,0.562,tried
מתחילה,3336,0.562,starting
אנהנו,3336,0.562,we will
באוזני,3336,0.562,in my ears
"רשב""ם",3335,0.562,Rashbam
טנקים,3335,0.562,tanks
הבריאות,3335,0.563,the health
פרטים,3334,0.563,details
דעות,3334,0.563,opinions
הזהות,3333,0.563,the identity
בפירושו,3333,0.563,in its meaning
תשל,3332,0.563,Tishle
היצירה,3332,0.563,the creation
אהת,3331,0.563,you
הונגריה,3331,0.563,Hungary
החרוז,3329,0.563,the bead
לפתע,3325,0.563,suddenly
כוללים,3324,0.563,include
אמרינן,3323,0.563,Amarinan
הדמוקרטי,3322,0.563,the democratic
רבא,3321,0.563,Raba
שאלת,3320,0.563,you asked
מתגלה,3318,0.563,is revealed
הוה,3317,0.563,passion
צפון,3317,0.563,north
שפירא,3317,0.564,Shapiro
בפברואר,3316,0.564,in February
איטליה,3316,0.564,Italy
לספק,3315,0.564,to provide
המרד,3314,0.564,the rebellion
דיווח,3314,0.564,report
כתר,3313,0.564,crown
כתובתה,3312,0.564,her address
לאומיות,3311,0.564,nationalism
נוהג,3310,0.564,practice
שאלתי,3310,0.564,I asked
מדרבנן,3310,0.564,from Durban
האינטלקטואלים,3309,0.564,the intellectuals
היהודיות,3308,0.564,Jewishness
החרדיות,3308,0.564,the ultra-Orthodox
תואר,3308,0.564,degree
האגף,3308,0.564,the wing
רשאי,3307,0.564,entitled
זלמן,3307,0.564,Zalman
המכונה,3306,0.565,the machine
ספרו,3306,0.565,his book
הנאצים,3304,0.565,the nazis
אחמד,3304,0.565,Ahmed
האונייה,3303,0.565,the ship
אפי,3303,0.565,epic
המפעל,3303,0.565,the factory
בגלות,3302,0.565,in exile
העיקריים,3301,0.565,the main ones
ארבעים,3300,0.565,forty
הפולחן,3299,0.565,the worship
בריטים,3295,0.565,Britons
התודעה,3295,0.565,consciousness
הערות,3295,0.565,remarks
והספורט,3295,0.565,and the sport
הגנה,3294,0.565,protection
ההבחנה,3294,0.565,the distinction
הבורגנות,3294,0.565,the bourgeoisie
לשוב,3292,0.566,return
דבינה,3292,0.566,Davina
ציוניות,3291,0.566,Zionism
תשכ,3291,0.566,shut up
עתיד,3288,0.566,future
תפקידים,3288,0.566,roles
הפרק,3285,0.566,the chapter
לבדו,3285,0.566,himself
נותר,3281,0.566,left
"לסה""נ",3279,0.566,for the year
מתייחס,3277,0.566,refer
החוזים,3276,0.566,the contracts
להרגיש,3276,0.566,to feel
אמות,3275,0.566,i will die
תמורה,3275,0.566,change
זהבה,3275,0.566,golden
שאותה,3275,0.566,which she
פלוני,3274,0.566,certain
חברו,3274,0.566,his friend
הבנייה,3274,0.566,the construction
לתאר,3273,0.567,describe
באחת,3273,0.567,at one
השלב,3272,0.567,the stage
תופעה,3272,0.567,phenomenon
שבט,3272,0.567,tribe
אדמה,3271,0.567,land
סמך,3271,0.567,trust
הפלוגה,3271,0.567,the company
ורבי,3270,0.567,and Rabi
סארטר,3270,0.567,Sartre
מרתה,3268,0.567,Martha
תיב,3268,0.567,Tib
יפ,3267,0.567,Yep
טקסט,3267,0.567,text
לשעבר,3266,0.567,former
תלמוד,3265,0.567,Talmud
דומים,3264,0.567,similar
ביהמ,3264,0.567,in court
םהלש,3263,0.567,a third
החוקה,3261,0.568,the constitution
םהש,3258,0.568,Meh
שה,3257,0.568,that
בוים,3257,0.568,Boim
ענף,3255,0.568,branch
טובות,3255,0.568,favors
השדה,3254,0.568,the field
הגרייא,3254,0.568,the grunt
לימים,3253,0.568,later
רמוא,3252,0.568,cheating
בעתיד,3251,0.568,in the future
אשת,3249,0.568,wife
בוועדות,3249,0.568,in committees
וצריך,3247,0.568,and should
מישראל,3247,0.568,from Israel
הסרטים,3247,0.568,the movies
אלש,3247,0.568,Alesh
לעתיד,3246,0.568,for the future
לסייע,3246,0.568,to assist
בקושטא,3246,0.569,in Košta
המאבק,3246,0.569,the struggle
זיכרון,3244,0.569,memory
במספר,3243,0.569,in number
האקדמית,3242,0.569,the academic
החינוכית,3242,0.569,the educational
נכונה,3240,0.569,correctly
למערכת,3240,0.569,to the system
"או""א",3239,0.569,O.A
בחז,3239,0.569,in the chest
אלג'יריה,3239,0.569,Algeria
ההון,3238,0.569,capital
העליונים,3238,0.569,the upper ones
הרגשה,3237,0.569,feeling
לבקר,3236,0.569,visit
האוטונומיה,3235,0.569,the autonomy
נורא,3233,0.569,terrible
לראש,3233,0.569,to the head
התוס,3232,0.569,the fruit
תוכנית,3232,0.57,a program
"באו""ם",3232,0.57,at the UN
יורק,3231,0.57,York
נשק,3231,0.57,weapon
הכניסה,3231,0.57,the entrance
אורית,3229,0.57,Orit
חום,3228,0.57,heat
השירים,3227,0.57,the songs
למשה,3227,0.57,to Moses
יוצאת,3226,0.57,going out
אימא,3225,0.57,mother
ילדה,3224,0.57,girl
דיני,3223,0.57,legal
במדינה,3223,0.57,in the country
טען,3223,0.57,claim
צטניק,3222,0.57,Chetnik
יונה,3221,0.57,Pigeon
חיות,3221,0.57,animals
השער,3220,0.57,the gate
תאטרון,3220,0.57,theater
ועכשיו,3219,0.571,and now
יוכלו,3219,0.571,will be able to
יוי,3218,0.571,Yui
הבנתי,3218,0.571,got it
תלויה,3216,0.571,depends
השבוע,3216,0.571,this week
המשפטיים,3216,0.571,the legal
אזי,3215,0.571,then
גאלב,3215,0.571,Galeb
מוות,3214,0.571,death
ברגמן,3214,0.571,Bergman
עזרא,3214,0.571,Ezra
לקואליציה,3212,0.571,to the coalition
לאומיים,3212,0.571,national
הטקסטים,3212,0.571,the texts
שנייה,3212,0.571,second
המדרגות,3211,0.571,the stairs
ךלש,3211,0.571,a trifle
חולין,3211,0.571,secular
במעשה,3210,0.572,in fact
האישי,3210,0.572,the personal
הכלכלה,3210,0.572,the economy
פרטיים,3209,0.572,private
תוכן,3208,0.572,content
בלונדון,3208,0.572,in London
הקולנוע,3208,0.572,the cinema
אחי,3205,0.572,my brother
לכתחילה,3205,0.572,to begin with
זקן,3204,0.572,an old
הגברים,3204,0.572,the men
רחא,3204,0.572,Racha
לבחון,3204,0.572,test
סואץ,3203,0.572,Suez
ומכאן,3203,0.572,and hence
ביסוד,3202,0.572,basically
תרומה,3202,0.572,contribution
ההוראה,3201,0.572,the instruction
הציונים,3201,0.572,the scores
קובנר,3200,0.572,Kovner
ישעיה,3200,0.573,Isaiah
יצאה,3199,0.573,came out
המודרניזם,3199,0.573,Modernism
לזכור,3199,0.573,remember
הקדום,3198,0.573,the ancient
לדעתו,3198,0.573,in his opinion
לאקאן,3198,0.573,Lacan
"ש""ח",3197,0.573,NIS
במו,3197,0.573,in his
הגיור,3196,0.573,the conversion
בגטו,3193,0.573,in the ghetto
כדעת,3193,0.573,as you thought
הרבנים,3192,0.573,the rabbis
האנושית,3192,0.573,the human
דורית,3191,0.573,Dorit
ג'ון,3191,0.573,color
הגמ,3187,0.573,the gm
לעצמה,3187,0.573,to herself
מזכיר,3186,0.573,reminds
חייהם,3185,0.574,their lives
בזיקה,3184,0.574,in affinity
וכפי,3184,0.574,and as
הקרב,3183,0.574,the battle
לעזוב,3183,0.574,leave
הפילוסופי,3183,0.574,the philosophical
הפולנים,3182,0.574,the Poles
לתרבות,3182,0.574,to culture
ואלה,3180,0.574,and these
בטלוויזיה,3178,0.574,on television
במסורת,3178,0.574,in tradition
העלמין,3174,0.574,the grave
שור,3174,0.574,bull
המוסד,3173,0.574,the institution
תוניסיה,3172,0.574,Tunisia
עוברת,3171,0.574,passes
הטייסת,3170,0.574,the squadron
האומה,3170,0.574,the nation
הפליטים,3170,0.574,the refugees
למשרד,3170,0.574,to the office
הענין,3169,0.575,the matter
טוען,3169,0.575,claims
המצלמה,3168,0.575,the camera
ניתוח,3168,0.575,surgery
להרחיב,3168,0.575,to expand
מארץ,3168,0.575,from the country
אסתטית,3167,0.575,aesthetic
ניצב,3167,0.575,extra
חייקה,3166,0.575,she smiled
עדים,3166,0.575,witnesses
הבחירה,3165,0.575,the choice
באוניברסיטת,3165,0.575,at the university
העץ,3164,0.575,the tree
דוגמת,3163,0.575,for example
שימש,3162,0.575,served
כאלו,3161,0.575,such
הריבית,3159,0.575,the interest rate
לברר,3158,0.575,clarify
דה,3156,0.575,da
קשים,3156,0.575,difficult
קצרה,3154,0.576,short
ןב,3153,0.576,Neb
קהילת,3153,0.576,community
שורש,3153,0.576,root
דמותה,3152,0.576,her character
קידושין,3150,0.576,consecration
אחוז,3149,0.576,percent
חול,3147,0.576,sand
הפועלים,3147,0.576,the workers
קמפ,3147,0.576,camp
"י""ל",3146,0.576,Y.L
זייל,3143,0.576,Zayl
לזהות,3142,0.576,recognize
פרופסור,3142,0.576,professor
משמעותית,3142,0.576,significantly
המושבות,3141,0.576,the colonies
להציג,3138,0.576,display
המיסטית,3138,0.576,the mystic
רשע,3136,0.576,evil
עצמן,3136,0.577,themselves
קביעת,3136,0.577,determination
מהגרי,3135,0.577,immigrants
במבנה,3134,0.577,in the structure
העתיד,3133,0.577,future
נקודה,3132,0.577,point
שלושת,3131,0.577,three
כידוע,3131,0.577,as we know
עלייה,3131,0.577,immigration
הרוב,3130,0.577,the majority
מציין,3130,0.577,indicating
תויהל,3130,0.577,You'll be fooled
שפה,3130,0.577,language
עזרה,3129,0.577,help
אידאולוגית,3128,0.577,ideological
גבולות,3128,0.577,limits
נעשית,3127,0.577,done
האמור,3125,0.577,the said
חולה,3125,0.577,sick
דמון,3125,0.577,demon
ךא,3125,0.578,so
התפיסה,3124,0.578,the perception
כמות,3123,0.578,quantity
מות,3123,0.578,death
דפנה,3122,0.578,bay
בררה,3122,0.578,choice
המזרחי,3121,0.578,the eastern
העמדה,3121,0.578,the position
קידוש,3120,0.578,Kiddush
מגלה,3120,0.578,reveals
העות'מאנית,3119,0.578,The Ottoman
"לצה""ל",3119,0.578,to the IDF
אליך,3118,0.578,you
שכתבו,3117,0.578,who wrote
בתוניסיה,3117,0.578,in Tunisia
נעמי,3115,0.578,Naomi
הברונזה,3115,0.578,the bronze
בחשבון,3115,0.578,in the account
עלתה,3113,0.578,came up
עשויה,3113,0.578,made
המוזיקה,3113,0.578,the music
וראו,3112,0.579,and see
קריאה,3112,0.579,reading
המסורתי,3111,0.579,the traditional
נושאים,3110,0.579,subjects
גולדמן,3110,0.579,Goldman
חיצוני,3110,0.579,external
המוסלמית,3110,0.579,the muslim
מצאנו,3108,0.579,we found
"במפא""י",3107,0.579,in Mapai
שינה,3107,0.579,sleep
הנשיא,3106,0.579,the president
קרקע,3106,0.579,ground
ממך,3104,0.579,from you
גורדון,3104,0.579,Gordon
המניות,3104,0.579,the shares
שעדיין,3103,0.579,which still
מעצם,3103,0.579,from a bone
שחור,3103,0.579,black
במושב,3102,0.579,in the seat
הפרופסור,3102,0.579,the professor
המשחק,3102,0.58,the game
"התשס""ג",3101,0.58,5883
באטיות,3100,0.58,slowly
תהליכי,3100,0.58,processes
כולן,3099,0.58,all of them
להציל,3099,0.58,to rescue
נהגו,3099,0.58,drove
חלקם,3099,0.58,some of them
פועלי,3098,0.58,laborer
בחזרה,3098,0.58,back to
הפוליטי,3098,0.58,the political
החסידית,3097,0.58,Hassidic
האמיתי,3097,0.58,the true
לדרך,3093,0.58,to go
הדרוזים,3092,0.58,the Druze
הפיתוח,3092,0.58,the development
הופך,3092,0.58,becomes
מיכאל,3090,0.58,Michael
לוין,3090,0.58,Levin
שיחה,3088,0.58,call
גרמניים,3088,0.581,Germans
מגמה,3088,0.581,trend
לאותה,3088,0.581,to her
באות,3088,0.581,are coming
התשס,3087,0.581,he went crazy
שלטון,3086,0.581,government
כלכלי,3086,0.581,economic
האתנית,3085,0.581,the ethnic
בהמה,3085,0.581,animal
המכ,3084,0.581,the mech
הציע,3084,0.581,suggested
לשונו,3084,0.581,his tongue
בנה,3084,0.581,build
דניאל,3084,0.581,Daniel
רומניה,3084,0.581,Rumania
"זו""ן",3083,0.581,Zon
הזוג,3081,0.581,the couple
בסיפורים,3080,0.581,in stories
הדוקטור,3079,0.581,the doctor
כוונתו,3079,0.581,his intention
מכרז,3079,0.582,tender
ההוצאה,3078,0.582,the expense
מפורש,3078,0.582,explicit
הסיפורים,3077,0.582,the stories
שמש,3076,0.582,sun
הזולת,3076,0.582,the other
ממצרים,3075,0.582,from Egypt
מנדלי,3074,0.582,Mandalay
החליט,3074,0.582,decided
"אצ""ג",3073,0.582,ACG
פתרון,3073,0.582,solution
שיא,3073,0.582,record
סטודנטים,3072,0.582,students
לחץ,3072,0.582,pressure
החסידים,3072,0.582,the devotees
פנייה,3071,0.582,turn
אח,3070,0.582,brother
עדויות,3070,0.582,testimonies
משותף,3069,0.582,shared
נקבע,3068,0.582,determined
להתיר,3068,0.583,to allow
אמנות,3068,0.583,art
שלשה,3067,0.583,three
הזיכרון,3067,0.583,the memory
מכלל,3066,0.583,at all
מאוחרת,3065,0.583,late
שומע,3065,0.583,hears
אלן,3064,0.583,Alan
ובית,3064,0.583,and a house
מלשון,3061,0.583,from the tongue
חלקו,3061,0.583,part of it
בהר,3061,0.583,in the mountain
דקיי,3061,0.583,decay
"לפסה""נ",3059,0.583,to Pesha'an
סלין,3058,0.583,Celine
רעה,3057,0.583,evil
להחזיר,3055,0.583,to return
לכב,3054,0.583,turn off
שנתבאר,3052,0.583,Let's be clear
שהגיע,3050,0.583,who arrived
יוספוס,3050,0.583,Josephus
השידור,3049,0.584,the transmission
המודרנית,3048,0.584,the modern
שמותר,3047,0.584,that is allowed
התרגום,3046,0.584,the translation
פעילויות,3046,0.584,activities
ללימודים,3045,0.584,for studies
ההקדש,3045,0.584,the endowment
פרשה,3045,0.584,affair
עורכים,3044,0.584,editors
שרוני,3043,0.584,Sharoni
הציור,3043,0.584,the painting
מוצרים,3042,0.584,products
בברייתא,3042,0.584,in Bariata
ארגוני,3042,0.584,organizational
טל,3042,0.584,Tal
יורם,3040,0.584,Yoram
אץ,3040,0.584,Acc
ששת,3039,0.584,six
באש,3038,0.584,in the fire
מחנה,3038,0.584,Campsite
בשפה,3038,0.585,in the language
נבחן,3038,0.585,examinee
הפער,3036,0.585,the gap
הקריאה,3036,0.585,the reading
בכפר,3036,0.585,village
גאון,3035,0.585,genius
מפולין,3035,0.585,from Poland
הלכו,3034,0.585,went
אורות,3034,0.585,lights
החלוצית,3034,0.585,the pioneer
חלב,3032,0.585,milk
פנימה,3032,0.585,inside
לתל,3032,0.585,to the mound
האימונים,3032,0.585,the trainings
עצמנו,3028,0.585,ourselves
מאסר,3028,0.585,imprisonment
הגבול,3027,0.585,the border
מתנחלים,3027,0.585,settlers
לציון,3027,0.585,to note
מיוחדים,3026,0.585,special
ליתן,3026,0.585,let
התקשורת,3026,0.586,the media
קדש,3025,0.586,holy
מימי,3024,0.586,watery
עצמאית,3022,0.586,independent
פרץ,3021,0.586,breach
דכיון,3021,0.586,Dachion
תקווה,3021,0.586,hope
ממון,3020,0.586,money
מעשיו,3018,0.586,his actions
חברתיות,3018,0.586,Sociality
לאושוויץ,3018,0.586,to Auschwitz
נכות,3017,0.586,disability
"ס""ק",3016,0.586,sec
בחר,3016,0.586,choose
"י""ג",3016,0.586,13
באיזה,3016,0.586,in which
ובה,3014,0.586,and in her
מטוסים,3014,0.586,planes
"ג""ר",3013,0.586,Jr
במעמד,3013,0.586,in class
קדימה,3013,0.586,forward
"משא""כ",3012,0.587,M.A
עובדי,3011,0.587,my employees
בתאטרון,3011,0.587,in the theater
מלכים,3010,0.587,kings
השחרור,3010,0.587,the release
תיק,3010,0.587,bag
לפעילות,3009,0.587,for activity
אצלנו,3008,0.587,with us
דקארט,3008,0.587,Descartes
הפתרון,3005,0.587,the solution
דאמר,3005,0.587,Dahmer
דיבור,3004,0.587,speech
קובי,3003,0.587,Kobe
המרכזיים,3002,0.587,the central ones
באנגלית,3002,0.587,in English
תרבותיים,3002,0.587,cultural
בתים,3001,0.587,Bat Yam
מאפיינים,3001,0.587,properties
מתקיים,3001,0.587,takes place
להבנת,3000,0.587,for understanding
לנסות,3000,0.587,try
עיניה,3000,0.588,her eyes
מבנים,2999,0.588,structures
לתורה,2999,0.588,to the Torah
חרוד,2999,0.588,anxious
ארכיון,2999,0.588,archives
עמה,2998,0.588,with her
מבטי,2997,0.588,my look
יוצרת,2997,0.588,creating
